cgpa,attendance,backlogs,skill_count,avg_skill_level,project_count,internship_count,certification_count,hackathon_count,placed
7.23,67.9,2,5,2.44,3,0,1,2,1
5.34,65.0,0,13,3.37,6,1,1,0,1
7.85,82.1,1,7,1.89,1,0,5,4,1
8.12,82.6,0,3,4.4,4,1,4,4,1
4.07,93.4,0,1,2.24,2,0,5,4,1
4.98,91.2,1,3,3.4,1,1,3,1,0
6.98,76.4,0,9,3.97,1,2,5,1,1
6.36,63.1,3,8,3.28,2,0,0,0,0
6.78,74.2,4,5,2.99,2,0,3,3,1
5.61,80.6,3,7,2.91,1,1,1,1,0
8.03,75.6,0,11,2.84,2,0,2,4,1
7.89,71.1,0,8,2.32,0,0,1,4,1
6.89,81.0,0,1,2.45,6,0,1,0,1
8.38,72.0,0,1,4.38,2,0,2,4,0
7.45,70.5,4,7,2.79,0,1,5,0,1
5.6,81.7,1,6,2.11,4,1,3,2,1
7.32,73.2,0,12,2.38,6,0,2,2,1
5.46,80.9,3,8,4.0,2,1,2,4,1
8.03,81.3,0,10,3.58,5,0,3,3,1
6.73,64.3,0,8,3.46,4,0,1,4,1
6.54,72.2,0,5,2.64,5,1,3,2,1
5.85,95.3,2,9,3.47,2,0,4,4,1
8.51,64.1,3,9,2.26,0,1,1,4,1
6.58,52.6,0,10,2.64,2,2,3,4,1
6.2,55.7,4,3,3.87,6,1,4,2,1
6.31,78.3,3,9,3.77,5,1,3,1,1
7.55,78.4,3,4,1.92,5,0,1,4,0
7.31,76.6,0,11,2.04,6,0,3,3,1
7.38,92.6,0,11,3.01,2,0,4,4,1
7.4,45.9,3,9,4.63,2,1,1,2,1
9.8,82.8,0,13,1.0,6,2,3,4,1
6.23,96.7,1,7,3.18,4,0,4,3,1
6.08,64.5,2,1,1.52,2,0,1,3,0
5.66,73.4,0,8,2.27,1,0,2,0,1
7.66,69.0,3,11,2.54,6,1,5,2,1
8.38,67.3,4,2,2.48,0,1,2,3,0
6.64,74.1,2,2,2.37,0,1,3,3,0
5.62,95.1,1,4,2.91,5,2,0,4,1
5.65,100.0,3,11,2.36,0,0,5,1,0
7.71,74.0,1,7,1.44,1,1,3,1,1
7.84,100.0,2,13,3.68,6,1,4,4,1
7.56,78.4,3,12,3.65,2,0,3,4,1
5.87,99.0,2,8,3.74,5,2,2,0,1
7.13,76.9,0,9,1.36,3,0,2,1,1
6.96,79.6,0,5,3.2,0,1,4,4,0
7.11,82.4,0,2,3.58,1,1,5,0,0
8.02,100.0,1,6,1.87,5,2,0,3,1
7.11,88.2,1,8,2.91,0,1,5,0,1
7.75,69.5,1,3,2.78,4,0,4,0,0
6.89,89.6,0,3,4.74,2,2,0,3,1
7.2,73.7,3,1,4.82,2,1,0,3,0
7.68,72.1,4,10,1.24,6,1,4,2,1
4.76,88.9,0,12,5.0,4,1,5,4,1
6.35,78.4,2,11,1.98,4,0,2,1,1
6.14,81.3,2,5,3.88,2,1,3,2,0
5.91,78.2,1,8,3.87,2,2,5,3,0
6.41,82.0,0,13,1.9,4,0,1,3,1
8.89,83.1,3,8,3.39,0,1,1,1,1
5.59,54.8,4,4,2.79,1,3,5,3,0
8.16,86.0,2,5,3.45,4,1,1,2,1
4.44,66.2,4,10,3.13,4,2,2,2,1
6.33,60.7,5,6,4.1,0,0,2,4,0
7.03,77.3,0,11,2.98,5,3,3,1,1
7.62,79.0,2,12,2.73,3,0,1,3,0
7.8,69.7,1,1,4.0,1,1,4,4,1
7.91,88.0,5,10,3.48,5,1,4,3,1
6.31,61.9,0,5,3.63,6,1,1,4,0
6.15,73.1,1,7,2.24,2,2,2,2,1
8.0,71.0,3,4,1.85,1,1,0,1,1
6.53,77.4,0,5,2.33,2,1,1,4,0
5.01,81.3,3,5,2.28,4,0,5,3,1
5.21,65.9,0,1,3.69,0,1,3,1,0
5.51,86.7,5,11,3.88,3,1,3,1,1
7.5,78.8,3,2,2.74,0,0,5,1,0
7.0,55.3,0,5,4.33,0,1,4,4,1
7.77,54.5,2,3,4.27,3,2,4,0,1
6.2,77.9,0,3,3.14,5,1,4,3,0
7.02,75.3,1,5,2.08,6,1,2,2,1
7.68,76.8,2,12,4.48,0,0,3,0,1
6.37,77.7,3,13,2.84,1,1,1,3,1
7.44,80.7,0,5,3.03,2,0,5,3,1
5.87,89.4,0,7,2.56,4,0,1,3,0
6.29,64.7,2,13,2.01,6,1,5,2,1
6.27,63.9,1,4,1.43,4,0,5,1,1
5.13,64.9,1,13,3.53,3,0,0,0,1
7.48,81.5,0,2,2.12,0,1,4,0,0
6.14,92.9,0,3,5.0,0,0,5,1,0
6.82,72.8,3,5,1.81,1,0,3,3,0
7.47,48.0,0,1,1.64,4,0,2,0,1
7.43,57.6,0,11,3.41,2,1,5,4,1
7.73,68.0,4,12,4.43,1,0,3,2,1
6.66,71.3,0,5,2.96,4,1,0,1,1
6.21,73.1,2,11,3.47,5,1,1,4,1
6.69,78.5,0,11,1.06,3,0,4,0,1
4.44,74.3,3,11,2.22,6,2,2,4,1
4.77,90.6,2,11,1.83,5,0,1,1,1
4.95,69.9,3,8,1.0,5,1,4,1,1
5.4,67.7,0,2,3.02,6,0,0,2,1
7.36,83.7,1,13,1.0,1,1,1,4,1
5.53,59.6,2,8,1.58,5,0,2,1,0
6.27,82.7,0,12,2.36,6,2,0,4,1
8.62,79.2,0,13,2.07,6,0,2,1,0
6.3,76.2,0,3,3.3,4,1,5,1,1
7.83,97.1,4,6,3.21,5,0,5,3,1
5.49,70.5,2,3,3.79,6,0,5,3,1
6.51,100.0,2,1,3.65,5,0,1,1,1
5.47,75.3,2,13,4.04,6,1,0,0,1
6.33,62.7,1,13,2.9,5,1,4,1,1
7.98,78.8,1,13,3.2,2,3,2,2,1
4.38,65.1,1,12,3.41,5,1,4,0,1
7.41,69.0,2,9,3.04,2,3,0,0,1
7.13,82.8,0,7,2.5,5,0,4,4,1
5.97,84.7,3,13,2.57,5,1,3,0,1
4.78,70.5,3,8,2.08,6,1,5,2,1
6.9,89.8,0,9,3.32,4,1,0,3,1
6.06,91.9,1,3,2.81,3,3,2,1,1
7.13,95.2,0,10,2.24,1,1,5,2,1
6.83,84.4,5,11,2.24,4,2,2,0,1
9.04,94.4,4,9,1.69,3,1,3,3,0
6.46,55.4,4,7,3.88,3,0,0,3,0
5.37,74.2,0,3,2.98,4,1,4,4,1
7.05,67.6,0,1,2.04,5,1,1,4,0
7.11,79.4,0,9,3.71,1,2,3,1,1
8.7,71.1,0,9,2.34,3,2,5,0,1
7.97,76.0,0,11,1.49,5,0,3,1,0
7.3,100.0,0,13,3.92,5,0,2,0,1
8.85,76.0,5,7,2.36,5,0,1,2,0
5.14,83.0,0,11,2.49,5,1,2,0,1
5.9,75.2,0,10,2.94,5,0,5,4,1
5.5,78.9,3,4,4.04,6,1,1,3,1
6.25,78.1,1,11,2.92,4,1,3,1,1
4.87,83.4,2,1,1.7,1,2,2,4,1
7.69,92.0,2,8,3.44,3,0,1,3,1
6.49,97.8,3,13,2.42,4,1,4,2,1
4.74,81.7,2,9,4.79,0,0,2,0,1
5.38,85.1,1,13,2.9,5,2,1,1,1
7.24,64.2,2,1,1.0,3,0,3,2,0
7.97,76.9,1,7,3.26,6,0,4,3,1
9.6,89.3,0,11,4.84,1,0,5,1,1
10.0,88.4,1,9,4.48,6,2,3,3,1
7.38,80.5,0,12,4.73,3,0,3,1,1
5.41,88.6,3,7,1.88,4,1,4,1,1
4.0,83.9,0,9,3.81,4,1,1,2,1
7.17,92.4,0,6,2.18,4,1,1,0,1
5.66,81.5,0,12,3.12,6,0,2,2,1
6.22,73.7,3,2,1.63,1,0,3,1,0
5.94,82.0,0,4,2.26,5,0,3,1,1
6.6,42.8,2,2,2.22,6,0,0,3,0
8.29,82.6,3,10,3.8,1,1,4,1,1
7.02,40.0,0,4,3.7,1,0,2,3,1
6.58,57.3,2,5,3.18,3,0,5,3,1
5.35,83.4,0,11,1.55,5,0,4,3,1
4.46,83.7,0,5,2.59,6,1,5,1,1
6.12,64.1,2,2,2.15,5,0,3,4,0
6.72,69.5,4,1,3.77,5,1,3,1,1
9.28,94.4,0,3,4.08,3,0,1,1,1
6.98,72.2,1,12,3.96,4,3,2,4,1
8.18,100.0,0,8,2.14,1,1,5,1,1
6.1,78.0,1,13,1.0,3,0,2,3,1
5.14,82.9,2,3,1.13,1,0,0,0,0
5.45,97.4,1,5,4.32,0,0,1,3,0
5.78,79.6,2,3,2.5,5,0,3,4,1
9.78,66.0,0,6,2.15,5,0,3,3,1
5.65,76.7,2,8,4.54,3,2,5,2,1
7.97,77.6,2,11,4.17,0,1,5,4,1
5.54,61.6,2,5,2.92,0,0,3,1,1
8.1,74.9,0,11,2.61,0,1,3,1,1
7.34,69.1,1,9,2.77,5,0,4,0,1
6.58,89.1,1,4,3.13,1,3,0,3,1
6.74,78.4,0,12,4.5,1,0,3,3,1
5.88,74.6,0,6,3.32,6,1,2,3,1
7.42,76.7,1,2,3.63,6,1,4,3,1
6.16,80.7,2,13,4.07,5,0,4,0,1
5.08,85.4,0,12,1.73,2,0,3,3,1
5.01,66.0,3,1,3.65,4,0,3,3,0
7.04,65.5,1,12,2.61,1,2,4,1,1
9.01,91.3,2,13,1.0,6,1,3,2,1
7.02,73.1,1,11,1.0,0,1,1,4,1
6.63,61.0,1,4,1.88,5,1,1,2,1
7.2,83.3,1,9,3.43,3,2,4,3,1
8.63,83.6,4,7,3.01,5,1,3,2,1
7.11,59.6,1,9,3.08,3,1,1,3,1
6.22,80.8,1,9,4.85,1,1,5,3,1
8.35,86.8,1,9,1.63,5,0,5,3,0
7.4,82.5,2,7,2.87,4,2,3,3,1
8.95,85.6,0,9,3.2,3,0,1,4,1
7.06,61.1,1,7,2.16,2,0,5,1,1
5.09,82.0,1,1,2.93,2,2,1,4,0
4.88,74.4,4,1,1.3,3,0,2,3,0
9.11,72.2,1,13,4.31,1,0,5,2,1
9.21,88.4,1,12,2.22,1,0,3,1,1
6.55,95.8,4,8,4.93,1,1,1,2,1
6.26,99.5,1,3,2.87,0,2,0,3,1
8.85,93.8,0,11,3.93,6,0,2,1,1
5.25,76.7,0,2,2.85,1,0,4,1,0
5.55,82.2,0,5,2.87,1,1,4,4,1
7.7,87.2,0,5,2.32,1,3,1,2,1
6.25,79.5,1,1,3.02,6,0,0,3,1
6.79,79.6,2,11,3.22,3,3,4,0,1
6.57,87.9,2,7,2.12,2,2,0,0,1
7.27,77.3,0,5,2.77,2,0,0,4,1
8.77,69.2,1,7,2.29,0,2,2,0,1
6.93,73.0,0,1,5.0,2,1,3,3,1
7.7,85.6,4,6,2.81,1,1,1,4,1
4.0,78.0,0,7,4.45,5,0,1,2,0
6.73,82.1,2,5,2.7,0,2,1,4,1
5.62,86.0,0,11,3.16,2,1,2,2,1
5.09,73.5,2,4,1.58,5,1,0,4,1
5.57,87.1,1,2,2.45,5,3,0,1,1
6.33,82.5,2,7,3.11,3,1,2,2,1
8.08,63.2,0,12,4.49,1,2,0,1,1
4.94,95.3,4,5,3.12,2,2,1,3,1
6.84,72.0,1,1,4.28,1,0,3,0,1
6.12,58.1,2,13,3.54,4,0,0,4,1
6.34,65.5,3,6,4.53,2,0,3,0,1
8.2,65.7,5,3,2.84,4,2,3,1,1
7.55,78.6,0,9,5.0,4,0,3,2,1
8.67,74.7,0,5,2.41,6,1,3,0,1
6.58,74.0,0,13,2.13,2,0,4,2,1
5.83,85.4,0,4,1.69,6,0,0,4,1
6.49,82.1,1,8,5.0,2,1,1,4,1
7.14,81.8,5,8,3.72,4,0,1,0,0
7.05,82.9,5,4,2.57,4,2,4,2,1
5.28,85.4,1,7,4.15,5,0,5,2,1
6.93,52.7,2,2,3.59,3,2,5,0,1
7.12,73.6,3,9,4.87,5,0,3,3,1
10.0,51.8,4,10,1.35,2,3,2,2,1
9.43,78.4,0,13,2.63,3,1,2,3,1
5.61,77.9,1,5,2.44,3,0,0,1,0
6.4,90.5,3,4,1.0,4,0,2,1,0
4.75,92.3,0,8,3.96,4,0,3,3,1
5.97,80.4,1,10,2.63,0,1,1,3,0
7.24,72.0,5,13,3.64,5,2,4,0,1
8.49,83.8,5,1,5.0,5,0,4,1,0
5.78,71.7,4,4,2.55,0,0,1,2,1
